,text,url
0,,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxUyzGugzAMANDTJGNkHEPC4OEvDF_qIUwMJRIkiFKk3r5Sl6r7e8rYiSY7cRMoRAAPZBfGiDRhSy2SYugUQkBPnkDGdqIZbOYGsaOeQk-uh4jx-wG8-5dLbpJXl8tcDcGYVXO5V5fqZldeznM3_s_gYHAQ3XJxP-Lg_ah7fcjqkhRRMQSS0vOQ9PqAi_EdAAD__05hNtg__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMfcfNp3F$
1,Click here,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMzU1qwzAQQOHTyEsx1siWvdCiJWhR2lLICSb6SabIlpCdmNy-0E27f48vWDVS8F20vdFmAkDQ3c2OSHGYTI8-9BrhgnEAGhIk7E2MCB3bXqlRz9rMWs4wqenvB0D5Rg_6IM6S11SEhguHwOu1SF-WLtvbvtdN4ItQTih3HIf8Hwjl4kKc38uVV4EutbIIPJ2I8_OVw2fZ2Ueh3Hk532vNHNtXK4lzlN9b7ZqtrdSyUZaeVgokNJD390b--cs_rPoJAAD__11LTUw__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMXcydrQP$
2,Project Manager - Heart Health Hub,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL9mPIbJJCbxkMPCIrS09NAvGJOoATUS3ZX-faE9tNfHe_CiJ8MxNMlLq61DVKib2dtgnGsTuhDliGpUybJkVDJoicZRk70kMrrTttOiQ0fur0dU4pWf_M55EXkbC2gccox5m4oIZW0WP5_nfoC6AfVA_XVd4r8A1KeV8_JWpryB6sdaVlD3Icfbkur5-RiOUPOQqpjPFcgMOX7U6SWCumtJqu1aB2TOLdZfhtpYS66pfq9lLwcvIvDGkUEjh_CoHL5-xp6evgMAAP__yMJSew__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMS7dPaxd$
3,CMHA.RFP2025.021,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL9mPIbJJCbxkMPCIrS09NAvGJOoATUS3ZX-faE9tNfHe_CiJ8MxNMlLq61DVKib2dtgnGsTuhDliGpUybJkVDJoicZRk70kMrrTttOiQ0fur0dU4pWf_M55EXkbC2gccox5m4oIZW0WP5_nfoC6AfVA_XVd4r8A1KeV8_JWpryB6sdaVlD3Icfbkur5-RiOUPOQqpjPFcgMOX7U6SWCumtJqu1aB2TOLdZfhtpYS66pfq9lLwcvIvDGkUEjh_CoHL5-xp6evgMAAP__yMJSew__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMS7dPaxd$
4,Addendum,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMzsFq8zAQBOCnkY9itVIk-6BDIBj-n5Ye-gQrrZIIbMnIdkzfviQ9tHP8mIFhj5Y4dskrZ1wPoMF0d-_IacXAYJJTFC0oyzQojYGUCenUZa8QrRmMG4wcoMf-dw-g5X960DvlSeZyrcJAyMy53KqMde4mf9-2ZRX6LHAUOB7HIf8WBI5ppjy91VsuQo_XVmehL8ScCu_zeUpt-9zDGlsOqcn7Ngu0IfNHu_1joS9GoT4Np16g3Qq3HwNjncOnEfOLFDyDXfNLq0tdaZKRCjEJAxTj3ih-vf4-PH4HAAD__7JGWS4__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMbUjqh1j$
5,Listowel Memorial Hospital Building Improvement Project,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rhDAQQH_NeAyTSdTkkMPCIrS09NBfMCZ-DKiR6K703xfaQ3t9vAcvBWo4xWoIurWtQzRoqznokTUZJo5jrF3LrF0bHXke6wE960qCJmqst623yqMj99cjGvXKT35nWZRsYwaLvaQk25RVzGu1hPk89wPMDagD6q7rUv8FoG5YWZa3PMkGphtLXsHce0m3ZSjn56M_YpF-KGo-V6Cml_RRppcE5m61Rt8gAjXnlsovQ2tqR64qYS95zwcvKvLGicEix_goHL9-xp6BvgMAAP__cFRTJg__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMb_Eg8U7$
6,LWHA BIP205347,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rhDAQQH_NeAyTSdTkkMPCIrS09NBfMCZ-DKiR6K703xfaQ3t9vAcvBWo4xWoIurWtQzRoqznokTUZJo5jrF3LrF0bHXke6wE960qCJmqst623yqMj99cjGvXKT35nWZRsYwaLvaQk25RVzGu1hPk89wPMDagD6q7rUv8FoG5YWZa3PMkGphtLXsHce0m3ZSjn56M_YpF-KGo-V6Cml_RRppcE5m61Rt8gAjXnlsovQ2tqR64qYS95zwcvKvLGicEix_goHL9-xp6BvgMAAP__cFRTJg__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMb_Eg8U7$
7,Closing Date,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMj8Fq8zAQhJ9mfRSrlSLZBx0CwfD_tPTQJ1hr5URgS0FxYvr2JemhnePHDMwngRxL7FLQ3voe0aDtLiGliJHYyOCM9zpN2s1pTuInf0Dv-i4HTeTsYP1g1YA99b97RKP-84PfOS8ql7mCxSmL5HKuKta1W8Jl2643MEegEWjc9139LQCNaeW8vNVzLmDGudUVzIlFUpH7elxS2z7v0y22PKWmLtsK5KYsH-38T8CcrNY4OEQgtxVpPwytOfTUw9NXXkjjM9S1cG31Wm-8qMiFhcEix3hvHL9efx-BvgMAAP__PWVZog__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMUzY2XYD$
8,Question and Answers,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMj8Fq8zAQhJ9mfRTrlSJLBx0CwfD_tPTQJ1hplURgS0FxEvr2JemhnePHDMwngSxLGnIYJzM5RI1mOIcYc067bHHnkvOMZpq0l5TZRiE_jUMJI5E13kzeKI-O3O8eUav_fOd3Losq9djAYCwipZ6aSm0dlnDetssV9B5oBpofj4f6WwCa88pleWunUkHPx95W0AcWyVVu637Jffu8xWvqJeauztsKZGORj376J6APZhzRW0Qgu1XpPwyN3jly8PSVFxrxGT30cOnt0q68qMSVhcEgp3TrnL5ef--BvgMAAP__PdZZow__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMSHKtIbI$
9,Intent to Respond Date,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMj8Fq8zAQhJ9mfRTrlWzLBx0CwfD_tPTQJ1hppURgS0FxEvr2JemhnePHDMwnjkaW0EXXT2ayiBpNd3YD9gMnmRN7mZKdCUfSPkXj9aD9ZLvseqLRzGaajZrRkv3dI2r1n-_8znlVuaQKBn0WyeVUVahbt7rzvl-uoA9AC9DyeDzU3wLQEjfO61s95QJ6Sa1uoI8sEovctsMa2_5589fQso9NnfcNaPRZPtrpn4A-mr7HeUQEGvci7Yeh0YMlC09feaEenzFdc5dWL_XKqwpcWBgMcgi3xuHr9ffu6DsAAP__AztZbQ__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMdpSCUCE$
