,text,link
0,HOME,https://urldefense.com/v3/__https://www.merx.com/__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Ki-uAh9W$
1,"TSPS, 2.3 Business Consultant(Senior) for implementation of Security Framework for the Financial Consumer Agency of Canada (FCAC).",https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975975?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975975&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqnF9gMG$
2,EA003-251545 – RFP Canada Revenue Agency’s Accommodation Facility - Third Party Commissioning,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975955?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975955&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Kv_fW4Mt$
3,Procurement Options Analysis Services,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524669696?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524669696&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KuT4TybR$
4,Pre-Design Study for Northside Water System,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524492543?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524492543&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqZKkbQY$
5,click here,https://urldefense.com/v3/__https://www.merx.com/private/solicitations/saved-searches?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=update_saved_search__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KuQLLIGE$
6,merx@merx.com,mailto:merx@merx.com
7,https://www.merx.com,https://urldefense.com/v3/__https://www.merx.com__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KkdXJoEY$
8,"1111, Saint-Charles Street WestEast Tower, Suite 352Longueuil, Quebec, J4K 5G4Canada","https://urldefense.com/v3/__https://www.google.ca/maps/place/50*Frank*Nighbor*Pl,*Kanata,*ON*K2V*1B9/@45.2991753,-75.9186075,17z/data:*20*20*20*20*20*20*20*20!4m5!3m4!1s0x4cd2007e5fda18a1:0xc36710b3436d106d!8m2!3d45.2991753!4d-75.9164134footer-google_link__;KysrKysrKyUlJSUlJSUl!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KiCGEloj$"
9,update your account,https://urldefense.com/v3/__https://www.merx.com/private/my-profile__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KmX5-eD5$
10,modify your subscription,https://urldefense.com/v3/__https://www.merx.com/public/terms-conditions__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Kuc3scf5$
11,,https://urldefense.com/v3/__https://www.sovra.com__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KgB_Slsr$
12,proposal.canada@accuracy.com,mailto:proposal.canada@accuracy.com
13,HOME,https://urldefense.com/v3/__https://www.merx.com/__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Ki-uAh9W$
14,HOME,https://urldefense.com/v3/__https://www.merx.com/__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Ki-uAh9W$
15,"TSPS, 2.3 Business Consultant(Senior) for implementation of Security Framework for the Financial Consumer Agency of Canada (FCAC).",https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975975?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975975&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqnF9gMG$
16,EA003-251545 – RFP Canada Revenue Agency’s Accommodation Facility - Third Party Commissioning,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975955?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975955&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Kv_fW4Mt$
17,Procurement Options Analysis Services,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524669696?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524669696&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KuT4TybR$
18,Pre-Design Study for Northside Water System,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524492543?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524492543&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqZKkbQY$
19,click here,https://urldefense.com/v3/__https://www.merx.com/private/solicitations/saved-searches?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=update_saved_search__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KuQLLIGE$
20,merx@merx.com,mailto:merx@merx.com
21,"TSPS, 2.3 Business Consultant(Senior) for implementation of Security Framework for the Financial Consumer Agency of Canada (FCAC).",https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975975?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975975&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqnF9gMG$
22,"TSPS, 2.3 Business Consultant(Senior) for implementation of Security Framework for the Financial Consumer Agency of Canada (FCAC).",https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975975?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975975&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqnF9gMG$
23,"TSPS, 2.3 Business Consultant(Senior) for implementation of Security Framework for the Financial Consumer Agency of Canada (FCAC).",https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975975?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975975&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqnF9gMG$
24,EA003-251545 – RFP Canada Revenue Agency’s Accommodation Facility - Third Party Commissioning,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975955?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975955&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Kv_fW4Mt$
25,EA003-251545 – RFP Canada Revenue Agency’s Accommodation Facility - Third Party Commissioning,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975955?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975955&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Kv_fW4Mt$
26,EA003-251545 – RFP Canada Revenue Agency’s Accommodation Facility - Third Party Commissioning,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/22784975955?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_22784975955&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Kv_fW4Mt$
